Title,Accession number,Title of translation,Author,Author affiliation,Corresponding author(s),Source,Abbreviated source title,Sponsor,Publisher/Repository,Volume,Issue,Pages,Issue date,Monograph title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Funding details,Funding text,Open Access type(s),Database,Copyright,Data Provider,,,,
First-Principles Analysis of the Raman Spectra of 2D Material YbOCl,2.0235E+13,,"Zhu, Leilei (1); Zeng, Xiongzhi (2); Shang, Honghui (1); Li, Zhenyu (1, 3) ","(1) Key Laboratory of Precision and Intelligent Chemistry, University of Science and Technology of China, Hefei; 230026, China (2) Hefei National Research Center for Physical Sciences at the Microscale, University of Science and Technology of China, Hefei; 230026, China (3) Hefei National Laboratory, University of Science and Technology of China, Hefei; 230088, China ","Shang, Honghui(shh@ustc.edu.cn); Li, Zhenyu(zyli@ustc.edu.cn)",Journal of Physical Chemistry C,J. Phys. Chem. C,,American Chemical Society,127,48,23359-23369,2023-12-07,,,2023,English,19327447,19327455,,10.1021/acs.jpcc.3c05140,,,,,,,Journal article (JA),"Raman spectroscopy is an indispensable technique for characterizing two-dimensional (2D) material structures and interaction information in experiments. However, systematic theoretical Raman analysis for 2D materials remains scarce. Ytterbium oxychloride (YbOCl) is a recently discovered 2D material that belongs to the MYX (M = transition metals; Y = O, S, Se, etc.; X = halogen) family. It exhibits half-metallic ferromagnetism, which makes it a promising candidate for spintronic devices in the future. Taking YbOCl as an example, we explored the key determinants in the calculation of the Raman spectrum. The assessment of potential-energy surfaces (PES) determined by different exchange-correlation functionals (xc-functionals) and van der Waals (vdW) corrections was found to be crucial for harmonic Raman simulation. Then, the anharmonic effects of this material resulting from electron-phonon and phonon-phonon interactions were analyzed by using the quasi-harmonic approximation (QHA) method and ab initio molecular dynamics (AIMD), and these results indicate that the anharmonic effect is weak in the YbOCl crystal. Finally, temperature- and strain-dependent Raman spectra confirmed that the vdW interactions in the YbOCl crystal are considerably weaker than the chemical bonding interactions; this tenuous interlayer vdW interaction was further substantiated via Raman simulations encompassing distinct layers. Such theoretical approaches to scrutinizing the Raman spectrum furnish invaluable insights into the intrinsic structural information and interactions of materials. © 2023 American Chemical Society.",87,Raman scattering,Chemical bonds - Chlorine compounds - Density functional theory - Molecular dynamics - Potential energy - Quantum chemistry - Spectrum analysis - Transition metals - Van der Waals forces - Ytterbium compounds,Anharmonic effect - First principles - Interaction information - Material interactions - Materials structure - Oxychlorides - Principle analysis - Structure information - Two-dimensional - Van Der Waals interactions,531 Metallurgy and Metallography - 741.1 Light/Optics - 801.4 Physical Chemistry - 922.1 Probability Theory - 931.3 Atomic and Molecular Physics - 931.4 Quantum Theory; Quantum Mechanics,"Number: 21825302,22003073,T2222026, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: XDB0450101, Acronym: CAS, Sponsor: Chinese Academy of Sciences; Number: -, Acronym: USTC, Sponsor: University of Science and Technology of China; ","This work was supported by National Natural Science Foundation of China (grant nos. T2222026, 22003073, 21825302), and the Strategic Priority Research Program of the Chinese Academy of Sciences (XDB0450101). The authors acknowledge the USTC Supercomputing Center and the National Supercomputing Center in Jinan.",,Compendex,"Compilation and indexing terms, Copyright 2024 Elsevier Inc.",Engineering Village,,,,
NNQS-Transformer: An Efficient and Scalable Neural Network Quantum States Approach for Ab initio Quantum Chemistry,2.0235E+13,,"Wu, Yangjun (1); Guo, Chu (2); Fan, Yi (3); Zhou, Pengyu (1); Shang, Honghui (3) ","(1) Institute of Computing Technology, Chinese Academy of Sciences, UCAS, Beijing, China (2) Hunan Normal University, Changshang, China (3) University of Science and Technology of China, Hefei, China ","Guo, Chu(guochu604b@gmail.com)","Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis, SC 2023","Proc. Int. Conf. for High Perform. Compu., Netw., Storage Anal., SC",ACM's Special Interest Group on High Performance Computing (SIGHPC); Association for Computing Machinery; IEEE s Technical Committee on High Performance Computing (TCHPC); Institute of Electrical and Electronics Engineers (IEEE) Computer Society,"Association for Computing Machinery, Inc",,,,2023-11-12,"Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis, SC 2023",1 of 1,2023,English,,,9.7984E+12,10.1145/3581784.3607061,42,"2023 International Conference for High Performance Computing, Networking, Storage and Analysis, SC 2023","November 12, 2023 - November 17, 2023","Denver, CO, United states",194664,,Conference article (CA),"Neural network quantum state (NNQS) has emerged as a promising candidate for quantum many-body problems, but its practical applications are often hindered by the high cost of sampling and local energy calculation. We develop a high-performance NNQS method for ab initio electronic structure calculations. The major innovations include: (1) A transformer based architecture as the quantum wave function ansatz; (2) A data-centric parallelization scheme for the variational Monte Carlo (VMC) algorithm which preserves data locality and well adapts for different computing architectures; (3) A parallel batch sampling strategy which reduces the sampling cost and achieves good load balance; (4) A parallel local energy evaluation scheme which is both memory and computationally efficient; (5) Study of real chemical systems demonstrates both the superior accuracy of our method compared to state-of-the-art and the strong and weak scalability for large molecular systems with up to 120 spin orbitals. © 2023 ACM.",43,Electronic structure,Monte Carlo methods - Network architecture - Petroleum reservoir evaluation - Quantum chemistry - Wave functions,Auto-regressive - Autoregressive sampling - Local energy - Many body - Many-body schrödinge equation - Neural network quantum state - Neural-networks - Quantum state - State-transformers - Transformer based architecture,512.1.2 Petroleum Deposits : Development Operations - 801.4 Physical Chemistry - 921 Mathematics - 922.2 Mathematical Statistics,,,"All Open Access, Green",Compendex,"Compilation and indexing terms, Copyright 2024 Elsevier Inc.",Engineering Village,,,,
TensorMD: Scalable Tensor-Diagram based Machine Learning Interatomic Potential on Heterogeneous Many-Core Processors,20230370462,,"Chen, Xin (1); Ouyang, Yucheng (2); Chen, Xin (3); Chen, Zhenchuan (2); Lin, Rongfen (3); Gao, Xingyu (1); Wang, Lifang (1); Li, Fang (3); Liu, Yin (2); Shang, Honghui (2); Song, Haifeng (1) ","(1) Institute of Applied Physics and Computational Mathematics, Beijing, China (2) SKL of Computer Architecture, Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China (3) National Research Center of Parallel Computer Engineering and Technology, Beijing, China ","Shang, Honghui(shanghonghui@ict.ac.cn); Song, Haifeng(songhaifeng@iapcm.ac.cn)",arXiv,arXiv,,arXiv,,,,2023-10-12,,,2023,English,,23318422,,10.48550/arXiv.2310.08439,,,,,,,Preprint (PP),"Molecular dynamics simulations have emerged as a potent tool for investigating the physical properties and kinetic behaviors of materials at the atomic scale, particularly in extreme conditions. Ab initio accuracy is now achievable with machine learning based interatomic potentials. With recent advancements in high-performance computing, highly accurate and large-scale simulations become feasible. This study introduces TensorMD, a new machine learning interatomic potential (MLIP) model that integrates physical principles and tensor diagrams. The tensor formalism provides a more efficient computation and greater flexibility for use with other scientific codes. Additionally, we proposed several portable optimization strategies and developed a highly optimized version for the new Sunway supercomputer. Our optimized TensorMD can achieve unprecedented performance on the new Sunway, enabling simulations of up to 52 billion atoms with a time-to-solution of 31 ps/step/atom, setting new records for HPC + AI + MD. Copyright © 2023, The Authors. All rights reserved.",36,Machine learning,Molecular dynamics - Supercomputers - Tensors,Ab initio - Atomic scale - Dynamics simulation - Extreme conditions - Heterogeneous many cores - Interatomic potential - Kinetic behavior - Machine-learning - Many-core processors - Physical kinetics,722.4 Digital Computers and Systems - 723.4 Artificial Intelligence - 801.4 Physical Chemistry - 921.1 Algebra,,,,Compendex,"Compilation and indexing terms, Copyright 2024 Elsevier Inc.",Engineering Village,,,,
Towards practical and massively parallel quantum computing emulation for quantum chemistry,2.02316E+13,,"Shang, Honghui (1); Fan, Yi (2); Shen, Li (2); Guo, Chu (3); Liu, Jie (2); Duan, Xiaohui (4); Li, Fang (5); Li, Zhenyu (2) ","(1) Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China (2) Hefei National Laboratory, University of Science and Technology of China, Hefei, China (3) Key Laboratory of Low-Dimensional Quantum Structures and Quantum Control of Ministry of Education, Department of Physics and Synergetic Innovation Center for Quantum Effects and Applications, Hunan Normal University, Changsha, China (4) School of Software, Shandong University, Jinan, China (5) National Research Center of Parallel Computer Engineering and Technology, Beijing, China ","Shang, Honghui(shanghui.ustc@gmail.com); Liu, Jie(liujie86@ustc.edu.cn); Guo, Chu(guochu604b@gmail.com)",npj Quantum Information,npj Quantum Inf.,,Nature Research,9,1,,2023-12-01,,,2023,English,,20566387,,10.1038/s41534-023-00696-7,33,,,,,,Journal article (JA),"Quantum computing is moving beyond its early stage and seeking for commercial applications in chemical and biomedical sciences. In the current noisy intermediate-scale quantum computing era, the quantum resource is too scarce to support these explorations. Therefore, it is valuable to emulate quantum computing on classical computers for developing quantum algorithms and validating quantum hardware. However, existing simulators mostly suffer from the memory bottleneck so developing the approaches for large-scale quantum chemistry calculations remains challenging. Here we demonstrate a high-performance and massively parallel variational quantum eigensolver (VQE) simulator based on matrix product states, combined with embedding theory for solving large-scale quantum computing emulation for quantum chemistry on HPC platforms. We apply this method to study the torsional barrier of ethane and the quantification of the protein–ligand interactions. Our largest simulation reaches 1000 qubits, and a performance of 216.9 PFLOP/s is achieved on a new Sunway supercomputer, which sets the state-of-the-art for quantum computing emulation for quantum chemistry. © 2023, The Author(s).",47,Quantum chemistry,Computation theory - Quantum optics - Qubits - Supercomputers,'current - Biomedical science - Chemical science - Commercial applications - Large-scales - Massively parallels - Performance - Quantum algorithms - Quantum Computing - Quantum resources,"721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 722.4 Digital Computers and Systems - 741 Light, Optics and Optical Devices - 741.1 Light/Optics - 761 Nanotechnology - 801.4 Physical Chemistry - 931.4 Quantum Theory; Quantum Mechanics","Number: 2021ZD0303306, Acronym: -, Sponsor: -; Number: 22003073,T2222026, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 11805279,2018YFB0204200,22073086, Acronym: NKRDPC, Sponsor: National Key Research and Development Program of China; Number: WK2060000018, Acronym: -, Sponsor: Fundamental Research Funds for the Central Universities; ","H.S. acknowledges support from National Natural Science Foundation of China (Grant No. T2222026, 22003073). L.S. acknowledges support from National Key Research and Development Program of China (Grant No. 2018YFB0204200). C.G. acknowledges support from National Natural Science Foundation of China (Grant No. 11805279). J.L. acknowledges National Natural Science Foundation of China (Grant No. 22073086), Innovation Program for Quantum Science and Technology (Grant No. 2021ZD0303306), the Fundamental Research Funds for the Central Universities (Grant No. WK2060000018). Computational resources were provided by the new Sunway supercomputer.","All Open Access, Gold, Green",Compendex,"Compilation and indexing terms, Copyright 2024 Elsevier Inc.",Engineering Village,,,,
Solving Schrödinger Equation with a Language Model,20230263169,,"Shang, Honghui (1); Guo, Chu (2); Wu, Yangjun (1); Li, Zhenyu (1); Yang, Jinlong (1) ","(1) Key Laboratory of Precision and Intelligent Chemistry, University of Science and Technology of China, Hefei, China (2) Hunan Normal University, Changsha, China ","Yang, Jinlong(jlyang@ustc.edu.cn)",arXiv,arXiv,,arXiv,,,,2023-07-18,,,2023,English,,23318422,,10.48550/arXiv.2307.09343,,,,,,,Preprint (PP),"The fundamental many-electron Schrödinger equation is solved straightforwardly with QiankunNet, a neural network quantum state (NNQS) framework based on generative Transformer architecture along with a batched autoregressive sampling method tailored for this Transformer-based ansatz in quantum chemistry calculations. This approach significantly improves the accuracy and efficiency of first-principles calculations compared to previous fermionic ansatz methods. The intricate quantum correlations are effectively captured by incorporating an attention mechanism into the methodology. Additionally, a batched autoregressive sampling strategy is employed to substantially enhance the sampling accuracy and efficiency. Furthermore, QiankunNet can incorporate a pre-training stage, where the truncated configuration interaction solution is embedded into the variational ansatz, ensuring high expressiveness and further boosting computational efficiency. QiankunNet showcases the power of the Transformer-based language model in achieving unprecedented efficiency in quantum chemistry calculations, opening up new avenues for chemical discovery and demonstrating the potential to solve the large-scale Schrödinger equation with modest computational cost. © 2023, CC BY.",34,Computational efficiency,Computational chemistry - Computational linguistics - Importance sampling - Quantum chemistry - Quantum theory,Ansatz method - Auto-regressive - First principle calculations - Language model - Many electron - Neural-networks - Quantum chemistry calculations - Quantum correlations - Quantum state - Sampling method,"721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 723.2 Data Processing and Image Processing - 801 Chemistry - 801.4 Physical Chemistry - 921.6 Numerical Methods - 922 Statistical Methods - 931.4 Quantum Theory; Quantum Mechanics",,,,Compendex,"Compilation and indexing terms, Copyright 2024 Elsevier Inc.",Engineering Village,,,,
A real neural network state for quantum chemistry,20230011128,,"Wu, Yangjun (1); Xu, Xiansong (2, 3); Poletti, Dario (2, 4); Fan, Yi (5); Guo, Chu (6, 7); Shang, Honghui (1) ","(1) Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China (2) Science, Mathematics and Technology Cluster, Singapore University of Technology and Design, 8 Somapah Road, 487372, Singapore (3) College of Physics and Electronic Engineering, Center for Computational Sciences, Sichuan Normal University, Chengdu; 610068, China (4) EPD Pillar, Singapore University of Technology and Design, 8 Somapah Road, 487372, Singapore (5) University of Science and Technology of China, Hefei, China (6) Henan Key Laboratory of Quantum Information and Cryptography, Henan, Zhengzhou; 450000, China (7) Key Laboratory of Low-Dimensional Quantum Structures and Quantum Control of Ministry of Education, Department of Physics, Synergetic Innovation Center for Quantum Effects and Applications, Hunan Normal University, Changsha; 410081, China ","Guo, Chu(guochu604b@gmail.com)",arXiv,arXiv,,arXiv,,,,2023-01-09,,,2023,English,,23318422,,10.48550/arXiv.2301.03755,,,,,,,Preprint (PP),"The restricted Boltzmann machine (RBM) has been successfully applied to solve the many-electron Schrödinger equation. In this work we propose a single-layer fully connected neural network adapted from RBM and apply it to study ab initio quantum chemistry problems. Our contribution is two-fold: 1) our neural network only uses real numbers to represent the real electronic wave function, while we obtain comparable precision to RBM for various prototypical molecules; 2) we show that the knowledge of the Hartree-Fock reference state can be used to systematically accelerate the convergence of the variational Monte Carlo algorithm as well as to increase the precision of the final energy. © 2023, CC BY.",40,Wave functions,Boltzmann equation - Quantum chemistry,Ab initio quantum chemistry - Electronic wave functions - Fully connected neural network - Hartree-fock - Many electron - Network state - Neural-networks - Real number - Restricted boltzmann machine - Single layer,801.4 Physical Chemistry - 921 Mathematics - 922 Statistical Methods,,,,Compendex,"Compilation and indexing terms, Copyright 2024 Elsevier Inc.",Engineering Village,,,,
Redesigning OpenKMC for Multi-Component Trillion-Atom Simulations on the New Sunway Supercomputer,2.02321E+13,,"Xu, Lei (1, 2); Shang, Honghui (1, 2); Chen, Xin (3); Zhang, Yunquan (1, 2); Wang, Lifang (3); Gao, Xingyu (3); Song, Haifeng (1, 2) ","(1) Chinese Academy of Sciences, Institute of Computing Technology, Beijing; 100190, China (2) University of Chinese Academy of Sciences, Beijing; 100049, China (3) Institute of Applied Physics and Computational Mathematics, Laboratory of Computational Physics, Beijing; 100094, China ","Chen, Xin(chen_xin@iapcm.ac.cn)",IEEE Transactions on Parallel and Distributed Systems,IEEE Trans Parallel Distrib Syst,,IEEE Computer Society,34,7,1997-2010,2023-07-01,,,2023,English,10459219,15582183,,10.1109/TPDS.2023.3269625,,,,,,ITDSEO,Journal article (JA),"The atomic kinetic Monte Carlo method plays an important role in material simulations by connecting the microscale mechanism with macroscale evolution. However, the long-time simulation of multi-component materials is highly challenging because it demands significant computing resources. With the advent of exascale computing, ultra-high computing power can enable kinetic Monte Carlo (KMC) simulations. In this paper, we deeply optimize OpenKMC for the new-generation Sunway supercomputer. This includes optimizing the memory access for the SW39000 architecture, eliminating various redundant computations at growing scales, and proposing a communication strategy for heterogeneous platforms. In addition, we expanded OpenKMC's simulation for multi-component alloys. Finally, the acceleration framework can produces a $37\times$37× performance enhancement on the Sunway platform. Furthermore, when powered by 10 million cores, our program can perform trillion-atom simulations of complex multi-component alloys with 85% parallel efficiency. © 1990-2012 IEEE.",51,Monte Carlo methods,Atoms - Computation theory - Computing power - Kinetics - Memory architecture - Silicon steel - Supercomputers,Atomic kinetic monte carlo - Atomic kinetics - Computational modelling - Kinetic Monte Carlo - Kinetic Monte Carlo methods - Many-core processors - Material simulation - MonteCarlo methods - Multi-component alloy - Multicomponents,"545.3 Steel - 549.3 Nonferrous Metals and Alloys excluding Alkali and Alkaline Earth Metals - 631.1 Fluid Flow, General - 721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 722 Computer Systems and Equipment - 722.2 Computer Peripheral Equipment - 722.4 Digital Computers and Systems - 723 Computer Software, Data Handling and Applications - 922.2 Mathematical Statistics - 931 Classical Physics; Quantum Theory; Relativity - 931.3 Atomic and Molecular Physics",,,,Compendex,"Compilation and indexing terms, Copyright 2024 Elsevier Inc.",Engineering Village,,,,
Multiscale quantum algorithms for quantum chemistry,2.02311E+13,,"Ma, Huan (1); Liu, Jie (1); Shang, Honghui (3); Fan, Yi (2); Li, Zhenyu (1, 2); Yang, Jinlong (1, 2) ","(1) Hefei National Laboratory, University of Science and Technology of China, Hefei; 230088, China (2) Hefei National Research Center for Physical Sciences at the Microscale, University of Science and Technology of China, Hefei; 230026, China (3) State Key Laboratory of Computer Architecture, Institute of Computing Technology, Chinese Academy of Sciences, Beijing; 100190, China ","Liu, Jie(liujie86@ustc.edu.cn); Shang, Honghui(shanghonghui@ict.ac.cn); Yang, Jinlong(jlyang@ustc.edu.cn)",Chemical Science,Chem. Sci.,,Royal Society of Chemistry,14,12,3190-3205,2023-02-16,,,2023,English,20416520,20416539,,10.1039/d2sc06875c,,,,,,CSHCCN,Journal article (JA),"Exploring the potential applications of quantum computers in material design and drug discovery is attracting more and more attention after quantum advantage has been demonstrated using Gaussian boson sampling. However, quantum resource requirements in material and (bio)molecular simulations are far beyond the capacity of near-term quantum devices. In this work, multiscale quantum computing is proposed for quantum simulations of complex systems by integrating multiple computational methods at different scales of resolution. In this framework, most computational methods can be implemented in an efficient way on classical computers, leaving the critical portion of the computation to quantum computers. The simulation scale of quantum computing strongly depends on available quantum resources. As a near-term scheme, we integrate adaptive variational quantum eigensolver algorithms, second-order Møller-Plesset perturbation theory and Hartree-Fock theory within the framework of the many-body expansion fragmentation approach. This new algorithm is applied to model systems consisting of hundreds of orbitals with decent accuracy on the classical simulator. This work should encourage further studies on quantum computing for solving practical material and biochemistry problems. © 2023 The Royal Society of Chemistry.",102,Quantum chemistry,Computation theory - Computational efficiency - Perturbation techniques - Qubits,Bio-molecular - Design discoveries - Drug discovery - Gaussians - Materials design - Quanta computers - Quantum algorithms - Quantum Computing - Quantum resources - Resource requirements,"721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 741 Light, Optics and Optical Devices - 761 Nanotechnology - 801.4 Physical Chemistry - 921 Mathematics","Number: AHY090400, Acronym: -, Sponsor: -; Number: 2021ZD0303306, Acronym: -, Sponsor: -; Number: 21825302,22073086,22288201, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: 22003073,T2222026,WK2060000018, Acronym: -, Sponsor: Fundamental Research Funds for the Central Universities; ","This work was supported by the Innovation Program for Quantum Science and Technology (2021ZD0303306), the National Natural Science Foundation of China (22073086, 21825302 and 22288201), Anhui Initiative in Quantum Information Technologies (AHY090400), and the Fundamental Research Funds for the Central Universities (WK2060000018). H. S. acknowledges support from the National Natural Science Foundation of China (T2222026 and 22003073).","All Open Access, Gold, Green",Compendex,"Compilation and indexing terms, Copyright 2024 Elsevier Inc.",Engineering Village,,,,
Increasing the Efficiency of Massively Parallel Sparse Matrix-Matrix Multiplication in First-Principles Calculation on the New-Generation Sunway Supercomputer,2.02238E+13,,"Chen, Xin (1); Gao, Yingxiang (2); Shang, Honghui (3, 3); Li, Fang (1); Xu, Zhiqian (2); Liu, Xin (1); Chen, Dexun (1) ","(1) National Research Center of Parallel Computer Engineering and Technology, Beijing; 100190, China (2) National Supercomputer Center in Tianjin, Tianjin; 300457, China (3) Chinese Academy of Sciences, Institute of Computing Technology, State Key Laboratory of Computer Architecture, Beijing; 100190, China ","Li, Fang(lifang56@163.com)",IEEE Transactions on Parallel and Distributed Systems,IEEE Trans Parallel Distrib Syst,,IEEE Computer Society,33,12,4752-4766,2022-12-01,,,2022,English,10459219,15582183,,10.1109/TPDS.2022.3202518,,,,,,ITDSEO,Journal article (JA),"The first-principles approach based on density-functional theory (DFT)/density-functional perturbation theory (DFPT) is widely used in calculations of the systems' ground state energy, response properties (e.g., polarizability, phonon dispersions) and is playing an increasingly important role in chemistry, physics and materials science. For the large-scale calculations, the computation of the density matrix/response density matrix in DFT/DFPT has become the main performance bottleneck. One of the solutions is using the linear scaling method to get the density matrix and response density matrix. Here a massively parallel medium sparse matrix-matrix multiplication algorithm is designed for first-principle calculations and implemented on the new-generation Sunway supercomputer. Experiments show that the proposed method has obvious performance advantages compared to the original parallel version under moderate sparsity. The computing cores scale to 3,900,000 with strong scalability of 77.3%. © 1990-2012 IEEE.",58,Density functional theory,Calculations - Computation theory - Discrete Fourier transforms - Ground state - Matrix algebra - Perturbation techniques - Supercomputers - Table lookup,Density matrix - Density-functional perturbation theory - Density-functional-theory - First principle calculations - Massively parallels - New-generation sunway supercomputer - Parallel sparse matrix-matrix multiplication - Perturbation method - Sparse matrices - Sparse matrix-matrix multiplications,"721.1 Computer Theory, Includes Formal Logic, Automata Theory, Switching Theory, Programming Theory - 722.4 Digital Computers and Systems - 723.1 Computer Programming - 921 Mathematics - 921.1 Algebra - 921.3 Mathematical Transformations - 922.1 Probability Theory - 931.3 Atomic and Molecular Physics - 931.4 Quantum Theory; Quantum Mechanics",,,,Compendex,"Compilation and indexing terms, Copyright 2024 Elsevier Inc.",Engineering Village,,,,
Q2Chemistry: A quantum computation platform for quantum chemistry,20220336482,,"Fan, Yi (1); Liu, Jie (1); Zeng, Xiongzhi (1); Xu, Zhiqian (1); Shang, Honghui (1); Li, Zhenyu (1); Yang, Jinlong (1) ","(1) Hefei National Research Center for Physical Sciences at the Microscale, University of Science and Technology of China, Anhui, Hefei; 230026, China ","Li, Zhenyu(zyli@ustc.edu.cn)",arXiv,arXiv,,arXiv,,,,2022-08-23,,,2022,English,,23318422,,10.48550/arXiv.2208.10978,,,,,,,Preprint (PP),"Quantum computer provides new opportunities for quantum chemistry. In this article, we present a versatile, extensible, and efficient software package, named Q2Chemistry, for developing quantum algorithms and quantum inspired classical algorithms in the field of quantum chemistry. In Q2Chemistry, wave function and Hamiltonian can be conveniently mapped into the qubit space, then quantum circuits can be generated according to a specific quantum algorithm already implemented in the package or newly developed by the users. The generated circuits can be dispatched to either a physical quantum computer, if available, or to the internal virtual quantum computer realized by simulating quantum circuit on classical supercomputers. As demonstrated by our benchmark simulations with up to 72 qubit, Q2Chemistry achieves excellent performance in simulating medium scale quantum circuits. Application of Q2Chemistry to simulate molecules and periodic systems are given with performance analysis. © 2022, CC BY.",88,Quantum chemistry,Benchmarking - Hamiltonians - Qubits - Supercomputers - Wave functions,Medium-scale - Performance - Performances analysis - Quanta computers - Quantum algorithms - Quantum circuit,"722.4 Digital Computers and Systems - 741 Light, Optics and Optical Devices - 761 Nanotechnology - 801.4 Physical Chemistry - 921 Mathematics",,,,Compendex,"Compilation and indexing terms, Copyright 2024 Elsevier Inc.",Engineering Village,,,,
"Growth, Raman Scattering Investigation and Photodetector Properties of 2D SnP",2.02211E+13,,"Ding, Chuyun (1, 2); Yao, Yuyu (2, 3); Zhu, Leilei (4); Shang, Honghui (5); Xu, Peng (2); Liu, Xiaolin (1); Lin, Jia (1); Wang, Feng (2); Zhan, Xueying (2); He, Jun (6); Wang, Zhenxing (2, 3) ","(1) Department of Physics, Shanghai Key Laboratory of Materials Protection and Advanced Materials in Electric Power, Shanghai University of Electric Power, Shanghai; 200090, China (2) National Center for Nanoscience and Technology, Beijing; 100190, China (3) Sino-Danish college, University of Chinese Academy of Sciences, Beijing; 100049, China (4) Department of Chemical Physics, University of Science and Technology of China, 96 Jinzhai Road, Anhui Province, Hefei; 230026, China (5) State Key Laboratory of Computer Architecture, Institute of Computing Technology, Chinese Academy of Sciences, Beijing; 100190, China (6) School of physics and Technology, Wuhan University, Wuhan; 430072, China ","Lin, Jia(jlin@shiep.edu.cn); Zhan, Xueying(zhanxy@nanoctr.cn); Wang, Zhenxing(wangzx@nanoctr.cn)",Small,Small,,John Wiley and Sons Inc,18,16,,2022-04-21,,,2022,English,16136810,16136829,,10.1002/smll.202108017,2108017,,,,,SMALBC,Journal article (JA),"As an important metal phosphides material, 2D tin phosphides (SnPx 0 -1 are concluded to belong to A1g mode, which are consistent with the theoretical calculation results. Moreover, the field-effect transistor (FET) devices based on SnP nanosheets show a typical n-type characteristic with an on/off ratio of 103 at 200 K. SnP nanosheets also demonstrate excellent photoresponse performance under the illumination of 473, 532, and 639 nm lasers, which can be tuned by Vgs, Vds, and light power density. It is believed that these findings can provide the first-hand experimental information for the future study of 2D SnP nanosheets. © 2022 Wiley-VCH GmbH.",36,Chemical vapor deposition,Nanosheets - Raman scattering - Metals - Phosphorus compounds - Tin compounds - Atmospheric pressure - Field effect transistors - Single crystals - Physicochemical properties,2d layered material - Chemical vapour deposition - Field-effect transistor - High quality - Layered material - Metal phosphides - Physicochemical property - Property - SnP nanosheet,443.1 Atmospheric Properties - 714.2 Semiconductor Devices and Integrated Circuits - 741.1 Light/Optics - 761 Nanotechnology - 801.4 Physical Chemistry - 802.2 Chemical Reactions - 933 Solid State Physics - 933.1 Crystalline Solids,"Number: 12174246,61804035,61804146,61875119,61974036,91964203, Acronym: NSFC, Sponsor: National Natural Science Foundation of China; Number: -, Acronym: YIPA CAS, Sponsor: Youth Innovation Promotion Association of the Chinese Academy of Sciences; Number: 2018YFA0703700, Acronym: NKRDPC, Sponsor: National Key Research and Development Program of China; ","C.D., Y.Y., and L.Z. contributed equally to this work. This work was supported by the National Key R&D Program of China (No. 2018YFA0703700), National Natural Science Foundation of China (Nos. 91964203, 61974036, 61804035, 61804146, 12174246, and 61875119), and CAS Key Laboratory of Nanosystem and Hierarchical Fabrication. The authors also gratefully acknowledge the support of Youth Innovation Promotion Association CAS.",,Compendex,"Compilation and indexing terms, Copyright 2024 Elsevier Inc.",Engineering Village,,,,
